Designator,Mid X,Mid Y,Rotation,Layer
C1,195.9,-73.2,0.0,top
C2,200.6,-75.32,270.0,top
C3,199.008,-75.32,270.0,top
C4,189.96,-60.905,180.0,top
C5,184.531,-60.96,0.0,top
C6,197.357,-75.316,270.0,top
C7,186.6,-58.4,0.0,top
J1,197.358,-44.7465,180.0,top
J10,172.0,-52.0,90.0,top
J11,179.075,-49.53,90.0,top
J2,197.485,-84.2855,0.0,top
J3,184.15,-83.82,180.0,top
J4,179.075,-44.45,90.0,top
J5,172.0,-74.0,90.0,top
J6,180.0,-57.0,270.0,top
J7,179.075,-46.99,90.0,top
J8,180.0,-68.0,270.0,top
J9,172.0,-62.0,90.0,top
R1,203.327,-48.514,90.0,top
R2,199.6,-73.2,180.0,top
R3,204.597,-48.514,270.0,top
R4,204.724,-80.645,270.0,top
R5,203.454,-80.645,90.0,top
SW1,198.247,-57.15,0.0,top
SW2,198.247,-70.612,0.0,top
U1,191.95,-64.25,90.0,bottom
U2,175.768,-64.135,270.0,bottom
U3,186.679,-56.134,0.0,top
U4,187.21,-65.905,180.0,top
